trunc_time,open_price,high_price,low_price,close_price,volume
2021-10-19,26900,26950,26200,26200,8316500
2021-10-20,26400,26750,25650,26300,14904000
2021-10-21,26500,26600,26000,26100,8665200
2021-10-22,26400,26400,26000,26200,6241800
2021-10-25,26000,26250,25600,25600,15093200
2021-10-26,25600,25750,25200,25600,10164000
2021-10-27,25750,26650,25650,26500,18102100
2021-10-28,26600,26700,26000,26700,11057400
2021-10-29,26600,26700,26200,26600,10004300
2021-11-01,26600,27050,26200,26600,14694700
2021-11-02,26700,26800,26500,26650,9856900
2021-11-03,26800,28450,26500,27900,41004200
2021-11-04,27900,28150,27450,27450,13509500
2021-11-05,27500,27750,27350,27650,9439300
2021-11-08,27650,28000,27300,27850,22636800
2021-11-09,28050,28800,27300,28100,26353000
2021-11-10,28200,28750,28150,28450,16093600
2021-11-11,28550,28600,27700,27700,22523900
2021-11-12,27450,28450,27300,28100,17017200
2021-11-15,28400,28400,27650,27950,12698200
2021-11-16,28000,28800,27700,28050,22035100
2021-11-17,28100,28300,27600,28000,10324800
2021-11-18,28150,28150,27550,27650,12176100
2021-11-19,27700,28450,27000,27900,22040300
2021-11-22,28000,29500,27900,28800,35710300
2021-11-23,28950,28950,28300,28500,10730300
2021-11-24,28500,30450,28350,30450,67319900
2021-11-25,31000,31250,30350,30650,28507400
2021-11-26,30700,31450,30500,30850,29138700
2021-11-29,30100,30600,29800,29900,38634400
2021-11-30,30250,30300,28650,28900,35420000
2021-12-01,28800,29900,28750,29900,19243000
2021-12-02,29900,30050,29300,29300,13458600
2021-12-03,29400,29550,28000,28000,23483000
2021-12-06,28000,28400,26400,27000,26472000
2021-12-07,27300,28100,26900,28050,12829200
2021-12-08,28050,28800,27800,28600,15748100
2021-12-09,28500,28900,28400,28850,11915400
2021-12-10,28850,29050,28400,28600,9892400
2021-12-13,28600,29000,28350,28650,10709100
2021-12-14,28550,28800,28100,28100,11426600
2021-12-15,28100,28900,27700,28350,15191400
2021-12-16,28700,28700,28000,28600,11084400
2021-12-17,28650,28700,28000,28300,9269300
2021-12-20,28250,28700,28150,28650,13058500
2021-12-21,28650,28800,28200,28200,9480400
2021-12-22,28450,28600,27200,27650,12051600
2021-12-23,27600,27800,26900,27400,14265800
2021-12-24,27400,28250,27400,28200,10410800
2021-12-27,28450,28450,27850,28100,7405300
2021-12-28,28250,30050,28050,30050,45046600
2021-12-29,30500,30800,29500,29500,16201800
2021-12-30,29600,31050,29600,30500,26157300
2021-12-31,30700,32300,30500,31500,35409200
2022-01-04,32000,32850,31700,32100,32861600
2022-01-05,31900,32800,31700,32550,36939600
2022-01-06,32500,33900,32400,32700,38537500
2022-01-07,32700,32950,31950,31950,28165900
2022-01-10,31950,32950,31150,31600,28376500
2022-01-11,31800,33300,31700,32450,29595900
2022-01-12,32500,34700,31650,34700,62422400
2022-01-13,35400,36200,34300,34300,43947500
2022-01-14,33800,35450,33750,35000,26697800
2022-01-17,35500,35600,32600,32600,44370800
2022-01-18,32600,34500,32550,33900,39676700
2022-01-19,34300,34400,32700,32900,20802100
2022-01-20,32600,33900,31800,33800,30983900
2022-01-21,33600,35250,33350,34600,39140700
2022-01-24,34400,34950,33000,33300,30187300
2022-01-25,33100,34800,33000,34700,24092400
2022-01-26,35000,36500,34800,35550,48906400
2022-01-27,35300,35950,34750,35400,23697100
2022-01-28,35200,36200,35200,35550,22212200
2022-02-07,36000,36300,35450,35600,18652400
2022-02-08,35350,36200,35350,35850,18823800
2022-02-09,36000,36700,35000,35050,32928900
2022-02-10,35000,35250,34200,34750,33959900
2022-02-11,34750,35350,34450,35300,18450500
2022-02-14,34850,35000,32850,32850,37421900
2022-02-15,33100,33900,32700,33500,31169300
2022-02-16,33750,34100,33100,33600,20057100
2022-02-17,33600,34250,33450,33900,15739300
