trunc_time,open_price,high_price,low_price,close_price,volume
2019-09-04,4810,4830,4790,4830,1401970
2019-09-05,4820,4850,4810,4810,921550
2019-09-06,4810,4850,4770,4770,1424380
2019-09-09,4780,4840,4780,4790,962570
2019-09-10,4800,4870,4770,4770,1702760
2019-09-11,4790,4850,4760,4760,760730
2019-09-12,4800,4800,4710,4790,1215650
2019-09-13,4780,4790,4700,4700,1124360
2019-09-16,4700,4700,4590,4600,2718170
2019-09-17,4600,4600,4490,4490,3488990
2019-09-18,4510,4600,4500,4540,1311400
2019-09-19,4550,4570,4500,4520,866410
2019-09-20,4530,4530,4460,4460,2007120
2019-09-23,4460,4530,4460,4470,884700
2019-09-24,4470,4690,4470,4560,2214960
2019-09-25,4580,4600,4500,4500,929130
2019-09-26,4540,4560,4480,4530,620620
2019-09-27,4500,4550,4500,4500,947320
2019-09-30,4510,4530,4480,4490,1436930
2019-10-01,4500,4550,4480,4550,1122170
2019-10-02,4610,4760,4610,4620,3437160
2019-10-03,4620,4700,4580,4640,1001850
2019-10-04,4640,4640,4550,4570,987530
2019-10-07,4520,4550,4490,4500,1123670
2019-10-08,4500,4510,4470,4480,1058920
2019-10-09,4480,4490,4450,4480,1289540
2019-10-10,4480,4490,4450,4460,1163330
2019-10-11,4480,4480,4450,4460,735080
2019-10-14,4460,4460,4390,4390,2791530
2019-10-15,4400,4430,4300,4300,2794610
2019-10-16,4300,4300,4160,4160,3376000
2019-10-17,4140,4350,4140,4290,1903080
2019-10-18,4290,4410,4290,4340,1698600
2019-10-21,4340,4340,4280,4280,948960
2019-10-22,4280,4540,4280,4460,2157920
2019-10-23,4500,4500,4370,4370,870290
2019-10-24,4440,4440,4380,4430,761670
2019-10-25,4430,4430,4360,4360,1348870
2019-10-28,4370,4430,4330,4360,1488230
2019-10-29,4340,4400,4290,4300,1909100
2019-10-30,4300,4320,4260,4290,1027710
2019-10-31,4280,4290,4220,4220,1241440
2019-11-01,4240,4280,4220,4230,885330
2019-11-04,4230,4330,4220,4290,1534530
2019-11-05,4300,4310,4240,4240,824790
2019-11-06,4100,4190,4100,4150,2995670
2019-11-07,4160,4210,4140,4150,1006440
2019-11-08,4150,4190,4130,4180,838670
2019-11-11,4180,4180,4140,4170,688690
2019-11-12,4150,4180,4140,4140,938610
2019-11-13,4140,4160,4050,4070,1621460
2019-11-14,4070,4100,4060,4080,1404790
2019-11-15,4100,4120,4010,4010,1492730
2019-11-18,4040,4050,3980,3980,1307420
2019-11-19,3990,4160,3990,4100,1905920
2019-11-20,4110,4120,4030,4050,808980
2019-11-21,4050,4050,4010,4050,538880
2019-11-22,4010,4040,3980,4000,1545340
2019-11-25,3990,4000,3900,3900,2051520
2019-11-26,3900,3990,3880,3910,821330
2019-11-27,3910,3960,3910,3960,520160
2019-11-28,3960,3980,3940,3940,618980
2019-11-29,3940,3970,3850,3850,1545010
2019-12-02,3890,3890,3620,3630,3852370
2019-12-03,3650,3660,3610,3610,1481270
2019-12-04,3630,3640,3590,3630,965620
2019-12-05,3650,3700,3650,3700,596090
2019-12-06,3700,3750,3700,3720,720930
2019-12-09,3760,3910,3720,3860,1546460
2019-12-10,3860,3960,3860,3900,1573110
2019-12-11,3910,4040,3910,4040,2693690
2019-12-12,4060,4060,3950,3970,1065680
2019-12-13,3970,4040,3900,3950,1615880
