trunc_time,close_price,ma_5,Predictions,Stock,Model,Method
2016-07-07,11200,11263.463510505755,,STB,DIY,MV
2016-07-08,11200,11231.731755252877,,STB,DIY,MV
2016-07-11,11200,11215.865877626438,,STB,DIY,MV
2016-07-12,11200,11207.93293881322,,STB,DIY,MV
2016-07-13,11500,11353.966469406609,,STB,DIY,MV
2016-07-14,11500,11426.983234703304,,STB,DIY,MV
2016-07-15,11900,11663.491617351652,,STB,DIY,MV
2016-07-18,12100,11881.745808675827,,STB,DIY,MV
2016-07-19,11600,11740.872904337913,,STB,DIY,MV
2016-07-20,11200,11470.436452168957,,STB,DIY,MV
2016-07-21,11300,11385.218226084478,,STB,DIY,MV
2016-07-22,11100,11242.60911304224,,STB,DIY,MV
2016-07-25,11000,11121.30455652112,,STB,DIY,MV
2016-07-26,11200,11160.65227826056,,STB,DIY,MV
2016-07-27,11200,11180.32613913028,,STB,DIY,MV
2016-07-28,11200,11190.16306956514,,STB,DIY,MV
2016-07-29,11300,11245.08153478257,,STB,DIY,MV
2016-08-01,11200,11222.540767391285,,STB,DIY,MV
2016-08-02,11100,11161.270383695643,,STB,DIY,MV
2016-08-03,11000,11080.635191847821,,STB,DIY,MV
2016-08-04,10500,10790.31759592391,,STB,DIY,MV
2016-08-05,11000,10895.158797961954,,STB,DIY,MV
2016-08-08,10900,10897.579398980977,,STB,DIY,MV
2016-08-09,10700,10798.789699490488,,STB,DIY,MV
2016-08-10,10800,10799.394849745244,,STB,DIY,MV
2016-08-11,10900,10849.697424872622,,STB,DIY,MV
2016-08-12,10900,10874.848712436311,,STB,DIY,MV
2016-08-15,10900,10887.424356218155,,STB,DIY,MV
2016-08-16,10700,10793.712178109077,,STB,DIY,MV
2016-08-17,10800,10796.856089054538,,STB,DIY,MV
2016-08-18,10600,10698.428044527269,,STB,DIY,MV
2016-08-19,10600,10649.214022263634,,STB,DIY,MV
2016-08-22,10600,10624.607011131817,,STB,DIY,MV
2016-08-23,10500,10562.30350556591,,STB,DIY,MV
2016-08-24,10500,10531.151752782955,,STB,DIY,MV
2016-08-25,10300,10415.575876391478,,STB,DIY,MV
2016-08-26,10500,10457.78793819574,,STB,DIY,MV
2016-08-29,10500,10478.89396909787,,STB,DIY,MV
2016-08-30,10500,10489.446984548935,,STB,DIY,MV
2016-08-31,10400,10444.723492274468,,STB,DIY,MV
2016-09-01,10200,10322.361746137234,,STB,DIY,MV
2016-09-05,10000,10161.180873068617,,STB,DIY,MV
2016-09-06,10200,10180.590436534309,,STB,DIY,MV
2016-09-07,10000,10090.295218267154,,STB,DIY,MV
2016-09-08,9900,9995.147609133577,,STB,DIY,MV
2016-09-09,9900,9947.57380456679,,STB,DIY,MV
2016-09-12,10000,9973.786902283395,,STB,DIY,MV
2016-09-13,9990,9981.893451141697,,STB,DIY,MV
2016-09-14,10100,10040.946725570848,,STB,DIY,MV
2016-09-15,10100,10070.473362785424,,STB,DIY,MV
2016-09-16,9400,9735.236681392711,,STB,DIY,MV
2016-09-19,9870,9802.618340696356,,STB,DIY,MV
2016-09-20,9790,9796.309170348177,,STB,DIY,MV
2016-09-21,9520,9658.154585174088,,STB,DIY,MV
2016-09-22,9600,9629.077292587044,,STB,DIY,MV
2016-09-23,9500,9564.538646293522,,STB,DIY,MV
2016-09-26,9410,9487.26932314676,,STB,DIY,MV
2016-09-27,9430,9458.63466157338,,STB,DIY,MV
2016-09-28,9430,9444.31733078669,,STB,DIY,MV
2016-09-29,9390,9417.158665393345,,STB,DIY,MV
2016-09-30,9320,9368.579332696672,,STB,DIY,MV
2016-10-03,9200,9284.289666348337,,STB,DIY,MV
2016-10-04,9150,9217.144833174169,,STB,DIY,MV
2016-10-05,9350,9283.572416587085,,STB,DIY,MV
2016-10-06,9610,9446.786208293543,,STB,DIY,MV
2016-10-07,9530,9488.393104146771,,STB,DIY,MV
2016-10-10,9370,9429.196552073387,,STB,DIY,MV
